	vertex	degree	eigenvector	betweenness			
179	who's the boss episode guide	17	0.015	5704.693			
180	recovery database network	4	0.001	255.159			
181	adenoid surgery children	1	0	0			
182	adidas jersey	1	0	0			
183	adp flex account	9	0.002	126.549			
184	best buy account	6	0.005	90.279			
185	medical waste management act	22	0.006	2021.975			
186	ip address definition	38	0.017	13182.314			
187	estimate fuel cost for trip	28	0.012	2016.064			
188	ang dating daan debate video	33	0.004	3920.841			
189	advanced male masturbation	20	0.015	210.37			
190	silver eagle pressure washers	6	0.005	415.668			
191	masturbation pic	6	0.006	9.641			
192	lyrics man in the mirror	34	0.039	608.971			
193	western maine health care	13	0.006	705.221			
194	jj cole mode diaper bag	124	0.086	14291.93			
195	cookin mama game	29	0.009	5994.417			
196	cole clark	51	0.036	1483.695			
197	advantages of globalization	1	0	0			
198	Advent Portable Automotive GPS Unit	7	0.005	63.067			
199	use it or lose it	51	0.026	10837.814			
200	the closer on tnt episode	17	0.018	287.757			
201	Desert Schools Federal Credit Union	90	0.027	35211.105			
202	tv video net	65	0.051	6020.018			
203	advocate good sam	3	0.001	0.316			
204	sam brady	22	0.02	676.419			
205	affordable artwork	1	0	0			
206	africa nazarene university kenya	6	0.002	58.283			
207	university of maryland asia	6	0.006	110.383			
208	University of York	9	0.001	1573.061			
209	University of Texas at Austin	57	0.042	3267.827			
210	university of washington	9	0.004	114.853			
211	african american slavery	1	0	0			
212	texas air check program	18	0.015	438.09			
213	georgia tag office license plate	126	0.097	13919.453			
214	gel cell battery	56	0.033	7031.096			
215	empire waist wedding dress	26	0.029	2242.377			
216	care for cast iron skillet	114	0.039	32075.436			
217	IRS Refund Cycle Chart	21	0.006	999.948			
218	Agent provocateur	3	0.003	0			
219	clovis adult education clovis ca	108	0.077	9134.286			
220	aig american general	1	0	0			
221	air compreser	1	0.002	0			
222	Air Force Special Forces	13	0.007	106.067			
223	pop cira i pop spira	36	0.033	1111.447			
224	mystery pi lottery ticket	21	0.012	1092.962			
225	kimball mn zip code	33	0.022	986.034			
226	con queso dip recipe	32	0.015	4076.531			
227	wisconsin badger insurance	7	0.001	134.957			
228	aircraft plans	2	0	0			
229	pacific aircraft	1	0	0			
230	airline central	2	0	0			
231	airline passenger forced	9	0.012	1438			
232	child porn tube	24	0.024	2415.95			
233	akron general hospital ohio	20	0.02	531.418			
234	ri hospital rhode island	3	0.004	1.609			
235	redding hospital	3	0.002	0			
236	northern hospital epping	3	0.002	0			
237	bethesda north hospital	6	0.002	4.554			
238	things to do in toledo ohio	28	0.028	5180.149			
239	rio grande nj	31	0.034	171.004			
240	mercy hospital in des moines	36	0.043	606.126			
241	madisonville state bank texas	78	0.068	3331.962			
242	alabama cities	4	0.002	0			
243	maine south	20	0.024	265.951			
244	jobs in birmingham alabama	57	0.047	758.997			
245	hospitals in birmingham alabama	57	0.047	758.997			
246	alfie movie	12	0.004	12.487			
247	royal oak movie theatre	6	0.003	0			
248	movie listings nyc	6	0.003	0			
249	live free or die hard movie	6	0.003	0			
250	free movie editing	12	0.004	12.487			
251	find movie theatres	15	0.004	4539.247			
252	famous movie qoutes	12	0.004	12.487			
253	watch rent the movie	19	0.014	529.047			
254	this christmas movie cast	20	0.011	1266.724			
255	movie gallery locations	9	0.004	161.074			
256	whitetail ski resorts	5	0.006	2.666			
257	strong boy names	7	0.008	0.261			
258	measurements of a king size bed	37	0.034	2008.3			
259	traverse city mi hotels	12	0.018	15.844			
260	st dennis madison wi	7	0.013	0			
261	pi phi	12	0.012	4.034			
262	pa vehicle code	47	0.049	1750.932			
263	oakleaf plantation jacksonville fl	41	0.046	763.549			
264	nashoba valley ski area westford ma	38	0.049	258.044			
265	margate fl	16	0.022	0.547			
266	la salsa cantina las vegas	8	0.011	0.139			
267	la pena berkeley	9	0.011	0.175			
268	incognito royal oak mi	74	0.041	3652.88			
269	graham and associates greensboro nc	55	0.051	143.927			
270	free i toon download	91	0.054	11686.615			
271	fitzgerald auto mall chambersburg pa	110	0.085	11341.499			
272	el dorado casitas royale	17	0.014	26.483			
273	delaney hall newark nj	104	0.09	1778.245			
274	bayou la batre	19	0.015	28.722			
275	b a	11	0.012	12.606			
276	allen tate realtors greensboro nc	87	0.069	1779.817			
277	village of fox lake il	31	0.033	452.41			
278	fly cell ringtones	30	0.026	404.352			
279	taylor swift tab	19	0.018	66.451			
280	richland center wi	22	0.027	189.295			
281	ml credit card	31	0.016	1244.138			
282	laura steele bob and tom	35	0.025	1557.404			
283	la scala restaurant philadelphia	29	0.038	177.045			
284	la casa restaurant sacramento	27	0.035	163.752			
285	fox my network tv	85	0.061	4322.054			
286	bob and tom camel toe	163	0.074	46289.195			
287	baby girl tutus	113	0.071	6210.295			
288	David Foster Wallace	81	0.054	9352.542			
289	all winners of american idol	1	0	0			
290	slave lake alberta	2	0.003	0			
291	homes for sale in beaumont california	27	0.021	210.352			
292	east elmhurst ny	29	0.027	19.522			
293	childers and venters pikeville ky	29	0.027	19.522			
294	celebrity pic	46	0.046	915.828			
295	doc washington	17	0.017	162.833			
296	marine base in north carolina	28	0.032	388.594			
297	usc penn state spread	20	0.022	69.402			
298	maryland state tax assessment	35	0.04	254.47			
299	state of texas registered sex offenders	51	0.051	1274.218			
300	ymca of charlotte nc	26	0.031	61.685			
301	us embassy denmark	28	0.032	91.368			
302	uofh clear lake tx	21	0.026	32.77			
303	tx driver license	25	0.03	162.805			
304	train timetable uk	28	0.037	54.871			
305	the addison park aberdeen nj	24	0.03	76.358			
306	stanley county	44	0.043	1151.019			
307	st lukes hospital sioux city ia	33	0.036	164.06			
308	real estate NJ	14	0.018	55.81			
309	provident bank nj	45	0.046	1477.718			
310	chop me up lyrics	58	0.049	1739.967			
311	bounce city humble tx	118	0.088	4352.24			
312	aquarium ny	72	0.069	633.36			
313	washington dc malls	37	0.038	386.203			
314	union city tn	57	0.055	2977.877			
315	state of america	32	0.031	1250.263			
316	springfield il tv stations	29	0.034	202.941			
317	river inn washington dc	46	0.047	1631.728			
318	cat and girl	42	0.032	1614.908			
319	cactus tree lyrics	31	0.021	1387.096			
320	Sugar Mountain	30	0.036	1398.736			
321	aloha sol	10	0.005	243.001			
322	sol campbell rumours	13	0.016	78.749			
323	net sol	2	0.001	0			
324	mayo clinic cabbage soup diet recipe	12	0.002	369.098			
325	alpha bank	11	0.005	2.367			
326	types of bank	7	0.004	0			
327	nbd bank	7	0.004	0			
328	frost bank careers san antonio	11	0.005	2.367			
329	first and peoples bank	11	0.005	2.367			
330	citizens bank rates	11	0.005	2.367			
331	citizen national bank	11	0.005	2.367			
332	alpha source	1	0	0			
333	altered beast forum	11	0.003	285.716			
334	double bass drum sets	7	0.005	31.775			
335	the pacifier cast	5	0.001	3.961			
336	howard the duck cast	11	0.002	145.556			
337	teacher assistant test	11	0.011	163.913			
338	mango's miami beach	37	0.038	2059.237			
339	Gulf Coast Community College	38	0.007	7744.494			
340	west mountain radio	12	0.01	217.183			
341	radio italia online	3	0.001	0			
342	radio controlled models	3	0.001	0			
343	radio contests	3	0.001	0			
344	internet radio blues	35	0.022	6593.286			
345	amarillo sour drink recipe	7	0	66.475			
346	recipe for pita bread	6	0	7.803			
347	laundry detergent recipe	6	0	7.803			
348	harvest moon recipe	13	0.002	874.127			
349	flat belly sassy water recipe	15	0.001	541.437			
350	asian flank steak recipe	16	0.001	1883.829			
351	amateur athletic union	7	0.001	0.544			
352	southeastern credit union	13	0.001	21.254			
353	central communications credit union	18	0.002	33.041			
354	mass mutual federal credit union	22	0.004	1653.811			
355	firstlight federal credit union union	38	0.005	3014.976			
356	community credit union of lynn	25	0.002	273.427			
357	amateur gang bang	44	0.02	8821.605			
358	super man cartoon	8	0.007	152.192			
359	starting a band	3	0	0			
360	potential breakup song lyrics	3	0	37.56			
361	man gifts	3	0.003	11.158			
362	lung cancer	1	0	0			
363	land rover engines	5	0.003	20.232			
364	land for sale in indiana	12	0.009	3020.778			
365	fraggle rock theme song lyrics	8	0.003	357.855			
366	down band	4	0	0			
367	bone thugs n harmony weed song lyrics	35	0.015	8071.47			
368	big bang bus	15	0.01	170.439			
369	university ring	3	0	103.84			
370	texas fight song	10	0.005	1186.3			
371	ohio bar association attorneys	7	0.007	92.262			
372	mj morning show fan page	22	0.019	959.559			
373	bank management and financial services	10	0.006	466.268			
374	land line phone companies	16	0.006	4379.133			
375	old mission bank sault ste marie mi	7	0.009	42.49			
376	martin luther king writing paper	32	0.027	2025.629			
377	free credit report commercial band	29	0.005	5109.342			
378	bank of america rating	25	0.021	1637.43			
379	ambassador east	3	0	4.897			
380	fixed cost and variable cost	59	0.015	16273.659			
381	ambulance sound effects	2	0	0			
382	Sound Bar	7	0.003	1448.337			
383	american board of general dentistry	1	0	0			
384	american embassy nairobi	7	0.011	0			
385	valentine golf balls	2	0.002	0			
386	tlc car	9	0.008	72.169			
387	thomas the train game online	8	0.003	2021.712			
388	the longest yard sale	6	0.004	1479.466			
389	the health benefits of olive oil	5	0.004	1448.88			
390	the barking dog restaurant	17	0.02	165.96			
391	tampadelphia bar	3	0.005	0			
392	stanley carpet cleaner	20	0.029	151.809			
393	second leading cause	2	0.002	0			
394	rihanna short hair style pictures	1	0.002	0			
395	real war footage	2	0.002	0			
396	pedal fire truck	1	0.002	0			
397	old english oil	4	0.004	1.157			
398	nyc hair salons	5	0.002	0			
399	nhl all star game scores	6	0.007	26.477			
400	maggiore car rental	3	0.004	0			
401	lyrics for bad girl	6	0.004	0			
402	long hair cats	5	0.002	0			
403	kirsten dunst hair	5	0.002	0			
404	how to highlight your hair	8	0.002	0.6			
405	how to convert car to electric	9	0.004	1573.364			
406	hay creek ranch	34	0.03	2153.36			
407	hair dryer attachments	19	0.017	1909.57			
408	grenade launcher sale	5	0.002	35.076			
409	golf santee	5	0.002	127.575			
410	girl smoking	11	0.005	7.302			
411	girl bunkbeds	8	0.004	0.243			
412	free web cam viewing	35	0.025	2847.672			
413	flybo electric car	3	0.003	0.121			
414	female celebrities with short hair	8	0.002	0.6			
415	earl may	3	0.002	0			
416	denver rtd schedule light rail	6	0.003	498.876			
417	dame chocolate	13	0.008	1208.2			
418	country girl comments	9	0.005	13.998			
419	carter blood	7	0.004	723.727			
420	cape travel	8	0.003	1450.753			
421	bus rate	9	0.008	97.425			
422	auto oil leaks	13	0.01	894.089			
423	amika hair straightener	32	0.03	1093.916			
424	the world fact book	28	0.023	1547.183			
425	the spider bull	5	0.005	10.515			
426	pill identifier.	5	0.004	0			
427	kenny bell supercharger	8	0.009	4.012			
428	jean philippe hell's kitchen	12	0.014	8.815			
429	go fit kettle bell	53	0.04	9902.089			
430	doll making patterns	8	0.004	174.696			
431	how to tie a scarf around your neck	9	0.006	237.002			
432	dick blick art	17	0.013	193.923			
433	century martial art	14	0.011	785.079			
434	armor car	67	0.054	1840.515			
435	NATIONAL RAIL ENQUIRIES	13	0.019	0.093			
436	photo cube generator	18	0.021	307.997			
437	hass avocados	8	0.007	2.564			
438	zack morris cell phone	29	0.034	256.826			
439	virgin mobile cell phones	33	0.035	1441.016			
440	tinker bell coloring pages	25	0.029	204.436			
441	nob hill spa san francisco	10	0.013	30.356			
442	girl desktop wallpaper	19	0.012	562.718			
443	dell monitor troubleshooting	17	0.013	9.527			
444	cell phone text forwards	74	0.049	8399.379			
445	McGraw Hill Publishing	24	0.018	90.524			
446	yankee stadium seating chart	30	0.031	575.351			
447	lufkin mall	13	0.016	36.99			
448	Roll Call Votes	37	0.02	2363.329			
449	clark energy kentucky	45	0.047	1687.142			
450	pc video card reviews	33	0.029	2937.814			
451	the new moon cast trailers	7	0.004	108.004			
452	east coast music mall	53	0.033	7329.301			
453	cast of not another tenn movie	12	0.006	248.621			
454	Read Full Story	19	0.013	3150.682			
455	Global Internet Marketing System	27	0.025	3135.849			
456	robert plant tour	14	0.019	83.492			
457	yellow polka dot dress	13	0.011	355.412			
458	nokia reset code	11	0.008	243.51			
459	the rocker actor Will	24	0.019	277.205			
460	tennessee senator alexander	38	0.052	314.724			
461	stephen crane short stories	14	0.015	30.933			
462	scott clark	23	0.019	416.026			
463	sarasota herald tribune	41	0.055	258.09			
464	real world alumni	13	0.019	13.481			
465	parr fish	11	0.011	102.456			
466	mother daughter porn	12	0.011	481.728			
467	kinds of girl scout cookies	16	0.012	112.575			
468	clark transportation	37	0.039	514.769			
469	baby girl bedding sets	46	0.031	975.023			
470	Yale School of Drama	23	0.006	2164.343			
471	chattahoochee river park	34	0.021	5128.063			
472	closet space saver hangers	54	0.044	7749.438			
473	Camille's Sidewalk Cafe	6	0.008	0			
474	"fox sports ""Super Bowl"	13	0.015	97.597			
475	Chili Bowl	4	0.002	0			
476	Camden Snow Bowl	28	0.029	1508.5			
477	easy recipes for chocolate cake	18	0.013	1402.331			
478	victory travel fort jackson	21	0.019	3321.085			
479	taco bell job application	35	0.027	6892.906			
480	credit card service	35	0.008	3504.675			
481	college career planning	28	0.004	3628.179			
482	chase student credit card	38	0.017	2352.858			
483	ANGELS WIFE LOVERS	20	0.019	707.315			
484	american history figures	7	0	0			
485	museum of nature history	7	0	4.108			
486	history of motion pictures	8	0	4.108			
487	gender history	8	0	4.108			
488	federal reserve history	9	0	1442.109			
489	coldest day in chicago history	17	0.003	10334.621			
490	black history children	7	0	0			
491	american legal funding	1	0	0			
492	american pallet	1	0	0			
493	ammunition shortage	1	0	0			
494	An affair to remember	2	0	0			
495	how to calculate interest earned	2	0	0			
496	anatolian dog	9	0.004	0.5			
497	registered dog names	6	0.003	0			
498	recipes dog treats	6	0.003	0			
499	fox radar	22	0.016	511.105			
500	dog fuclkers	9	0.004	0.5			
501	cheap dog crates	9	0.004	0.5			
502	video that allows	3	0	0			
503	video game images	11	0.002	389.298			
504	video bucket	6	0	0			
505	usb video	3	0	0			
506	teen sex video clips	6	0	117.385			
507	strip dancing videos	7	0	18.74			
508	steam train videos	11	0.003	403.067			
509	how to make a highlight video	22	0.003	3916.311			
510	first dance video	16	0.002	260.073			
511	download free computer video games	15	0.002	286.685			
512	black booty video	15	0.001	190.502			
513	best video player	19	0.006	1345.855			
514	red tube free sex video	15	0.011	699.01			
515	ov video	14	0.011	443.379			
516	me estas tentando video	16	0.018	453.653			
517	riordan manufacturing inc company	6	0.003	78.73			
518	how to settle credit card debt yourself	26	0.005	1018.531			
519	angel lo la luv	7	0.007	0.55			
520	neil simon theatre	16	0.02	1447.893			
521	martin webb	7	0.006	12.809			
522	george lopez daughter	21	0.018	49.551			
523	david michael	7	0.002	2881.49			
524	LB WHITE	21	0.019	56.975			
525	Animal rescue	5	0.001	0			
526	texas dachshund rescue	12	0.012	622.572			
527	educated animal rescue and teen haven	6	0.001	42.803			
528	colorado pug rescue	22	0.02	1326.619			
529	colorado golden retriever rescue	7	0.004	153.699			
530	ankle injury treatment	2	0	0			
531	Cancer Treatment Center of America	29	0.017	7282.634			
532	ann taylor toyota	1	0	0			
533	anna taylor loft	26	0.025	1763.884			
534	june taylor dancers	1	0	0			
535	aunt peg clips trailers	39	0.034	637.755			
536	yankee pot roast recipes	42	0.042	3181.134			
537	wasabi root	10	0.011	101.542			
538	the time things	1	0.001	0			
539	rise of the mushroom kingdom	2	0.001	0			
540	pork pie snare	15	0.009	3390.325			
541	junkyard jump game	10	0.002	348.878			
542	heritage face recognition	9	0.002	43.258			
543	creamy chicken and wild rice soup	21	0.002	2348.112			
544	cheat codes for gta vice city	30	0.017	2126.367			
545	antique drop leaf table	10	0.005	998.306			
546	Oceanic Time Warner	5	0.001	1.972			
547	eye witness news	13	0.01	33.447			
548	west side story soundtrack	15	0.012	1828.306			
549	bass pro shop locator	30	0.03	418.731			
550	orange juice and vodka	14	0.004	2559.604			
551	vitamin k shot	17	0.012	285.14			
552	monster jam pc cheats	19	0.018	267.752			
553	i love you in korean language say a	24	0.017	62.334			
554	free mario game download for pc	27	0.021	433.333			
555	family guy voice	13	0.006	911.522			
556	leisure time entertainment	11	0.002	932.349			
557	CHASE CREDIT CARD SERVICES	27	0.006	4895.074			
558	annete dawn	1	0	0			
559	antik denim jeans for men	1	0	0			
560	bible in a year	5	0	1447.341			
561	apa citation internet	5	0.003	0			
562	new internet explorer downloads	17	0.02	937.722			
563	tiger woods blog	4	0.007	0			
564	tagalog sex stories	11	0.008	1435.353			
565	skull box	9	0.011	32.849			
566	myspace comment box generators	3	0.004	0			
567	hitman sex scene	28	0.014	11633.706			
568	free abode flash player	20	0.023	702.724			
569	duncan gun shop	36	0.036	478.415			
570	dove body wash coupons	7	0.007	547.735			
571	chevy cobalt body kits	19	0.018	1505.555			
572	buy house	8	0.01	1.157			
573	bra shoulder pads	14	0.013	28.181			
574	body composition test	21	0.013	2211.097			
575	bob's business	10	0.007	3313.335			
576	baby panda pictures	25	0.017	172.071			
577	aquarium baby swing	31	0.028	350.482			
578	sex offender california	38	0.042	857.17			
579	apex gear	13	0.012	21.783			
580	library of thumbs sex	13	0.008	1975.37			
581	jefferson county texas	91	0.071	6998.759			
582	family guy cast list	20	0.01	1694.606			
583	wayne brady ordinary	15	0.016	14.886			
584	chenal pet palace	55	0.05	1730.423			
585	dynamic fitness center	9	0.002	313.019			
586	horse woman sex	52	0.036	2033.128			
587	vista blue screen	2	0.001	57.91			
588	safest seat on an airplane	7	0.006	50.647			
589	apple bottom asses	3	0	5.836			
590	old apple computer	8	0.008	2224.105			
591	recipe for bottom round roast	18	0.007	3937.262			
592	applebee's job application	12	0.003	234.692			
593	job opportunities overseas	8	0.002	32.053			
594	how to airbrush real flames paint job	8	0.002	32.053			
595	have trouble while using this application	5	0.001	2.429			
596	free good job clip art	8	0.002	32.053			
597	yahoojobs job search	20	0.003	8184.5			
598	recent job cuts in america	4	0.002	48.893			
599	free math homework help online	38	0.006	11355.152			
600	applet download	3	0	0			
601	download unix	6	0	258.647			
602	free ares software download music	23	0.002	7081.324			
603	apply at ross	1	0	0			
604	reasons to have a baby	11	0.006	1070.49			
605	modern indian baby names	8	0.006	0			
606	baby tips	10	0.006	0.35			
607	baby humidifiers	10	0.006	0.35			
608	baby week	10	0.009	3.657			
609	baby school	18	0.008	1037.691			
610	pc clock	28	0.036	1202.016			
611	cay va gio	83	0.066	1856.795			
612	arabic live tv	12	0.009	14.283			
613	expresso tv stands	12	0.009	14.283			
614	direct tv remotes	12	0.009	14.283			
615	arbitron inc	1	0.002	0			
616	arbor guitar	13	0.015	10.186			
617	heath ledger actor	21	0.016	490.731			
618	argon chip	5	0.001	30.291			
619	too much iron in blood	8	0.003	1851.687			
620	side effects of carbon monoxide	3	0.002	26.88			
621	arizona sex offenders	12	0	31.7			
622	videos of teens having sex	5	0	0			
623	top sex toys	5	0	0			
624	sex tuys	5	0	0			
625	sex poditions	5	0	0			
626	philippine sex scandals	5	0	0			
627	indian sex stores	12	0	31.7			
628	girls that love sex	12	0	31.7			
629	free hot sex pictures	12	0	31.7			
630	ARKANSAS DEPARTMENT OF HEALTH	1	0	0			
631	weather mesa arizona	10	0.014	67.633			
632	map of springfield	17	0.025	15.789			
633	city of lincoln ca	25	0.022	62.182			
634	texas condos	13	0.018	6.474			
635	windsor hotel philadelphia	18	0.024	96.844			
636	hospice of cincinnati	17	0.023	16.006			
637	edwards cinema fresno california	23	0.028	56.967			
638	edwards cinema boise	15	0.018	10.191			
639	crit city store	45	0.038	517.522			
640	my campus phoenix	14	0.018	0			
641	halifax shopping centre	27	0.023	3347.828			
642	crown plaza toronto	32	0.03	47.923			
643	city of temple texas jobs	88	0.054	5611.742			
644	value city store locations in illinois	46	0.052	684.535			
645	midland county courts	23	0.022	225.311			
646	lewis county tennessee	22	0.02	196.063			
647	Gaston County	28	0.029	316.025			
648	night clubs in chicago illinois	24	0.029	384.337			
649	hawaii information system	20	0.028	122.279			
